Anio,Marzo,Junio,Septiembre,Diciembre
2002,2152.8,2103.3,2195.9,2232.5
2003,2328.5,2215.8,2247.4,2276.6
2004,2309.7,2247.7,2199.9,2176.8
2005,2121.3,1969.2,1783.6,1860.1
2006,1942.9,1834.5,1766.8,1819.5
2007,1863.2,1773.3,1806.1,1942
2008,2190.5,2385.6,2600.8,3206.8
2009,4018.2,4139.6,4121.2,4335
2010,4617.7,4655.4,4585.4,4702.2
2011,4920.9,4844.3,4998.1,5287.3
2012,5667.8,5731.1,5824.3,6021
2013,6278.3,6047.3,5943.4,5935.6
2014,5933.2,5622.7,5427.7,5457.8
2015,5444.8,5149.1,4850.8,4779.6
2016,4791.4,4574.7,4320.8,4237.6
2017,4255.1,3914.3,3731.7,3766.7
2018,3795.9,3490.1,3325.9,3304.1
2019,3354.3,3230.7,3214.5,3191.8
2020,3312.9,3368,3722.9,3719.8
2021,3653.9,3543.9,3416.8,3103.9
