year,Periodo,Edad
1975,Año,33
1976,Año,33,1
1977,Año,33,2
1978,Año,33,33
1979,Año,33,48
1980,Año,33,68
1981,Año,33,9
1982,Año,34,13
1983,Año,34,39
1984,Año,34,66
1985,Año,34,95
1986,Año,35,24
1987,Año,35,54
1988,Año,35,87
1989,Año,36,19
1990,Año,36,52
1991,Año,36,86
1992,Año,37,14
1993,Año,37,43
1994,Año,37,71
1995,Año,38,02
1996,Año,38,33
1997,Año,38,64
1998,Año,38,94
1999,Año,39,23
2000,Año,39,51
2001,Año,39,78
2002,Año,40,01
2003,Año,40,11
2004,Año,40,21
2005,Año,40,34
2006,Año,40,46
2007,Año,40,57
2008,Año,40,64
2009,Año,40,78
2010,Año,41,01
2011,Año,41,27
2012,Año,41,54
2013,Año,41,83
2014,Año,42,16
2015,Año,42,46
2016,Año,42,72
2017,Año,42,97
2018,Año,43,18
2019,Año,43,4
